company,segment,cost_center,account,ico,location,journal_name,period,type,tran_type,Entry Type,USD Amt
A0,97,1915,14450,6771,YUX,Addition USD,Feb,Marketing,Additions,Subledger, -   
B22,25,1915,14450,8774,YUX,Addition USD,Feb,Insurance,Additions,Subledger, -   
B1,88,1932,14450,2255,YUX,CIP Addition USD,Feb,Services,Additions,Subledger, -   
C25,92,1932,14450,9471,YUX,CIP Addition USD,Feb,Insurance,Additions,Subledger, -   
B24,57,1953,14450,3965,ZHY,CIP Adjustment BHD,Feb,Employee,Transfers,Subledger, -   
C25,12,1953,14450,6707,ZHY,CIP Adjustment BRL,Feb,Services,Transfers,Subledger, -   
B23,82,1953,14450,3688,ZHY,CIP Adjustment BRL,Feb,Travel,Transfers,Subledger, -   
B1,84,1953,14450,3815,ZRH,CIP Adjustment EUR,Feb,Software,Adjustment,Subledger, -   
C25,74,1932,14450,9526,YVR,CIP Adjustment USD,Feb,Travel,Adjustment,Subledger, -   
C25,67,1953,14450,243,ZRH,CIP Adjustment USD,Feb,Travel,Transfers,Subledger, -   
B1,55,1952,14450,8903,ZRH,CIP Adjustment USD,Feb,Services,Transfers,Subledger, -   
A0,75,1115,14450,9277,ZRH,CIP Reclassification AUD,Feb,Rent,Transfers,Subledger, -   
B23,96,1953,14450,8835,ZAZ,CIP Reclassification CAD,Feb,Employee,Transfers,Subledger, -   
B1,14,1953,14450,7140,ZAZ,CIP Reclassification CAD,Feb,Training,Transfers,Subledger, -   
B24,23,1952,14450,3631,ZRH,CIP Reclassification EUR,Feb,Marketing,Transfers,Subledger, -   
C25,80,1953,14450,8950,ZAZ,CIP Reclassification EUR,Feb,Office,Transfers,Subledger, -   
B23,94,1953,14450,3641,ZAZ,CIP Reclassification EUR,Feb,Rent,Transfers,Subledger, -   
B24,83,1992,14450,1937,ZHY,CIP Reclassification EUR,Feb,Office,Transfers,Subledger, -   
A0,77,1953,14450,651,ZAZ,CIP Reclassification GBP,Feb,Office,Transfers,Subledger, -   
B23,50,1952,14450,9366,ZAZ,CIP Reclassification GBP,Feb,Software,Transfers,Subledger, -   
B24,34,1952,14450,3039,ZAZ,CIP Reclassification GBP,Feb,Rent,Transfers,Subledger, -   
B23,83,1626,14450,8869,ZAZ,CIP Reclassification GBP,Feb,Services,Transfers,Subledger, -   
A0,97,1953,14450,701,ZAZ,CIP Reclassification GBP,Feb,Insurance,Transfers,Subledger, -   
B24,60,1953,14450,7220,ZAZ,CIP Reclassification GBP,Feb,Office,Transfers,Subledger, -   
B22,75,1965,14450,2844,ZAZ,CIP Reclassification GBP,Feb,Services,Transfers,Subledger, -   
A0,90,1151,14450,9597,ZAZ,CIP Reclassification GBP,Feb,Rent,Transfers,Subledger, -   
B23,36,1952,14450,3999,ZAZ,CIP Reclassification GBP,Feb,Insurance,Transfers,Subledger, -   
B23,36,1952,14450,7766,ZAZ,CIP Reclassification GBP,Feb,Training,Transfers,Subledger, -   
C25,63,1953,14450,3585,ZAZ,CIP Reclassification GBP,Feb,Software,Transfers,Subledger, -   
A0,69,1965,14450,1206,ZAZ,CIP Reclassification GBP,Feb,Employee,Transfers,Subledger, -   
B1,36,1952,14450,8065,ZRH,CIP Reclassification JPY,Feb,Office,Transfers,Subledger, -   
C25,92,1953,14450,5308,ZRH,CIP Reclassification JPY,Feb,Employee,Transfers,Subledger, -   
C25,81,1952,14450,6480,ZRH,CIP Reclassification JPY,Feb,Training,Transfers,Subledger, -   
C25,24,1952,14450,9810,ZRH,CIP Reclassification JPY,Feb,Insurance,Transfers,Subledger, -   
B23,82,1915,14450,4605,YUX,CIP Reclassification USD,Feb,Training,Transfers,Subledger, -   
B1,68,1915,14450,3889,YUX,CIP Reclassification USD,Feb,Employee,Transfers,Subledger, -   
B23,51,1311,14450,2306,YUX,CIP Reclassification USD,Feb,Software,Transfers,Subledger, -   
A0,77,1915,14450,5890,YUX,CIP Reclassification USD,Feb,Software,Transfers,Subledger, -   
B23,90,1311,14450,6169,YUX,CIP Reclassification USD,Feb,Office,Transfers,Subledger, -   
B23,28,1915,14450,7127,YUX,CIP Reclassification USD,Feb,Insurance,Transfers,Subledger, -   
B22,12,1953,14450,5940,YUX,CIP Reclassification USD,Feb,Training,Transfers,Subledger, -   
B22,93,1952,14450,8315,YUX,CIP Reclassification USD,Feb,Office,Transfers,Subledger, -   
A0,67,1952,14450,9073,YUX,CIP Reclassification USD,Feb,Marketing,Transfers,Subledger, -   
B24,71,1999,14450,6016,YUX,CIP Reclassification USD,Feb,Office,Transfers,Subledger, -   
B22,81,1999,14450,2698,YUX,CIP Reclassification USD,Feb,Insurance,Transfers,Subledger, -   
B22,92,1999,14450,6681,YVR,CIP Reclassification USD,Feb,Office,Transfers,Subledger, -   
B23,13,1999,14450,4438,YVR,CIP Reclassification USD,Feb,Software,Transfers,Subledger, -   
B23,72,1113,14450,3297,YVR,CIP Reclassification USD,Feb,Insurance,Transfers,Subledger, -   
B1,29,1113,14450,6037,YVR,CIP Reclassification USD,Feb,Office,Transfers,Subledger, -   
A0,41,1952,14450,8763,ZAG,CIP Reclassification USD,Feb,Marketing,Transfers,Subledger, -   
A0,42,1953,14450,331,ZAG,CIP Reclassification USD,Feb,Rent,Transfers,Subledger, -   
B1,55,1952,14450,2297,ZAZ,CIP Reclassification USD,Feb,Services,Transfers,Subledger, -   
B1,47,1952,14450,8775,ZAZ,CIP Reclassification USD,Feb,Training,Transfers,Subledger, -   
C25,56,1965,14450,8754,ZAZ,CIP Reclassification USD,Feb,Marketing,Transfers,Subledger, -   
B22,32,1915,14450,1557,ZAZ,CIP Reclassification USD,Feb,Office,Transfers,Subledger, -   
B1,65,1952,14450,8587,ZHY,CIP Reclassification USD,Feb,Employee,Transfers,Subledger, -   
B24,62,1226,14450,2523,ZAZ,CIP Transfer GBP,Feb,Rent,Transfers,Subledger, -   
C25,56,5,14450,8654,ZAZ,Oracle reval,Feb,Employee,,Manual, -   
B23,43,1953,14450,2111,AXE,CIP Addition USD,Feb,Training,Additions,Subledger,19954000
A0,78,1953,14450,4186,AXE,CIP Addition USD,Feb,Services,Additions,Subledger,19954000
B24,90,1953,14450,126,AXE,CIP Addition EUR,Feb,Software,Additions,Subledger,15335270
B22,26,1953,14450,9734,AXE,CIP Addition USD,Feb,Software,Additions,Subledger,15260000
B1,82,1953,14450,6757,AXE,CIP Addition USD,Feb,Travel,Additions,Subledger,15090544
B22,87,1953,14450,2921,AXE,CIP Addition USD,Feb,Office,Additions,Subledger,14042000
B1,78,1953,14450,2878,AXE,CIP Addition USD,Feb,Insurance,Additions,Subledger,13963550
B22,98,1953,14450,8969,AXE,CIP Addition USD,Feb,Services,Additions,Subledger,12312000
A0,96,1953,14450,4897,AXE,CIP Addition USD,Feb,Training,Additions,Subledger,12246000
B24,58,1953,14450,7071,AXE,CIP Addition USD,Feb,Office,Additions,Subledger,12223762
B1,34,1953,14450,7463,AXE,CIP Addition USD,Feb,Travel,Additions,Subledger,12151532
A0,60,1953,14450,4056,AXE,CIP Addition USD,Feb,Office,Additions,Subledger,12151532
B24,44,1953,14450,9260,AXE,CIP Adjustment USD,Feb,Services,Transfers,Subledger,12111059
B1,96,1953,14450,4708,AXE,CIP Addition EUR,Feb,Travel,Additions,Subledger,11433661
B23,15,1953,14450,4680,AXE,CIP Adjustment THB,Feb,Office,Transfers,Subledger,11414392
B24,58,1953,14450,6964,AXE,CIP Addition USD,Feb,Rent,Additions,Subledger,11252000
B1,76,1953,14450,8981,AXE,CIP Addition EUR,Feb,Insurance,Additions,Subledger,11023215
B22,61,1953,14450,7149,AMS,CIP Addition GBP,Feb,Rent,Additions,Subledger,10363602
C25,25,1953,14450,6512,AMS,CIP Addition USD,Feb,Office,Additions,Subledger,10322000
C25,23,1953,14450,7686,AMS,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,10169221
A0,15,1953,14450,910,AMS,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,10135962
A0,46,5,14450,5259,AMS,Oracle reval,Feb,Employee,,Manual,10127643
B22,87,1953,14450,4311,AMS,CIP Addition USD,Feb,Training,Additions,Subledger,10072200
B22,34,1952,14450,8440,AMS,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,9912220
C25,50,1953,14450,6502,AMS,CIP Adjustment USD,Feb,Office,Transfers,Subledger,9523567
C25,92,1953,14450,364,AMS,CIP Adjustment USD,Feb,Office,Transfers,Subledger,7777577
C25,65,1952,14450,3699,AMS,CIP Adjustment USD,Feb,Employee,Transfers,Subledger,7627957
B24,15,1952,14450,668,AXA,CIP Adjustment USD,Feb,Office,Transfers,Subledger,7221924
C25,54,1953,14450,1369,AXA,CIP Adjustment USD,Feb,Employee,Transfers,Subledger,6690240
B23,59,1952,14450,7450,AXA,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,6634903
A0,25,1952,14450,6358,AXA,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,6519161
B23,42,1953,14450,7051,AXA,CIP Adjustment USD,Feb,Services,Transfers,Subledger,6452206
B22,97,1953,14450,586,AXA,CIP Adjustment USD,Feb,Office,Transfers,Subledger,6369344
B1,21,1953,14450,6527,AXA,CIP Addition JPY,Feb,Insurance,Additions,Subledger,6324960
B1,32,1953,14450,4765,AXA,CIP Addition USD,Feb,Employee,Additions,Subledger,6135753
B1,93,1952,14450,2428,AXA,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,6072166
B23,17,1953,14450,1307,AXA,CIP Adjustment JPY,Feb,Services,Transfers,Subledger,5603915
B24,72,1953,14450,4171,AXA,CIP Addition AUD,Feb,Travel,Additions,Subledger,5559556
A0,29,1953,14450,3154,AXA,CIP Addition USD,Feb,Marketing,Additions,Subledger,5400075
B22,74,1953,14450,8724,AXA,CIP Addition USD,Feb,Software,Additions,Subledger,5373622
B23,39,1952,14450,768,AXA,CIP Adjustment USD,Feb,Training,Transfers,Subledger,5363069
B1,54,1953,14450,6202,AXA,CIP Adjustment USD,Feb,Training,Transfers,Subledger,5276633
B22,82,1953,14450,564,AXA,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,5191732
B1,91,1952,14450,1711,AXA,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,5039631
B1,78,1953,14450,8161,AXA,CIP Addition USD,Feb,Services,Additions,Subledger,4956627
A0,20,1952,14450,1151,AXA,CIP Addition AUD,Feb,Office,Additions,Subledger,4921500
A0,68,1953,14450,9301,ARN,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,4751443
B22,90,1953,14450,1716,ARN,CIP Addition SGD,Feb,Travel,Additions,Subledger,4744967
B23,33,1953,14450,7703,ARN,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,4727922
B23,38,1953,14450,4809,ARN,CIP Addition USD,Feb,Marketing,Additions,Subledger,4561366
B23,20,1953,14450,5219,ARN,CIP Adjustment EUR,Feb,Rent,Adjustment,Subledger,4561072
A0,32,1953,14450,3928,ARN,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,4522151
C25,24,1953,14450,6098,ARN,CIP Adjustment USD,Feb,Services,Transfers,Subledger,4277262
B23,77,1953,14450,943,ARN,CIP Adjustment USD,Feb,Software,Adjustment,Subledger,4227077
B23,18,1952,14450,6196,ARN,CIP Adjustment USD,Feb,Training,Transfers,Subledger,4200221
B23,80,1953,14450,223,ARN,CIP Addition AUD,Feb,Travel,Additions,Subledger,4134345
B22,73,1952,14450,2937,ARN,CIP Adjustment USD,Feb,Office,Transfers,Subledger,4100222
B1,86,1953,14450,4863,ARN,CIP Adjustment EUR,Feb,Office,Adjustment,Subledger,4092225
B22,88,1952,14450,3890,ARN,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,4024064
B23,69,1953,14450,6407,ARN,CIP Adjustment USD,Feb,Marketing,Adjustment,Subledger,3921743
A0,70,1952,14450,1163,ARN,CIP Adjustment USD,Feb,Services,Transfers,Subledger,3912700
C25,35,1953,14450,9836,ARN,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,3744491
A0,12,1953,14450,6004,ARN,CIP Adjustment USD,Feb,Services,Transfers,Subledger,3721219
A0,70,1953,14450,3679,ARN,CIP Addition USD,Feb,Employee,Additions,Subledger,3713223
B22,84,1953,14450,1781,ARN,CIP Addition BRL,Feb,Rent,Additions,Subledger,3709220
B23,33,1953,14450,6969,ARN,CIP Addition EUR,Feb,Travel,Additions,Subledger,3676022
B23,51,1952,14450,3632,ARN,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,3624456
B22,20,1953,14450,1717,ARN,CIP Addition SGD,Feb,Insurance,Additions,Subledger,3561615
C25,20,1953,14450,3693,ARN,CIP Addition USD,Feb,Office,Additions,Subledger,3526527
B24,100,2192,14450,8025,ARN,CIP Addition SGD,Feb,Office,Additions,Subledger,3506535
B1,47,1953,14450,9865,ARN,CIP Adjustment USD,Feb,Office,Transfers,Subledger,3462275
B1,56,1953,14450,1725,ARN,CIP Adjustment USD,Feb,Software,Transfers,Subledger,3441201
B23,55,1953,14450,1971,ARN,CIP Adjustment USD,Feb,Rent,Adjustment,Subledger,3432240
B1,45,1953,14450,6148,ARN,CIP Adjustment USD,Feb,Insurance,Adjustment,Subledger,3360264
B1,48,1953,14450,8039,ARN,CIP Adjustment USD,Feb,Employee,Adjustment,Subledger,3342755
B23,52,1952,14450,2120,ARN,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,3322323
B1,35,1953,14450,476,ARN,CIP Addition CAD,Feb,Travel,Additions,Subledger,3320256
B24,18,1953,14450,9229,ARN,CIP Adjustment USD,Feb,Marketing,Adjustment,Subledger,3270720
C25,33,1953,14450,5097,ARN,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,3266247
B1,16,1953,14450,1536,ARN,CIP Adjustment USD,Feb,Training,Transfers,Subledger,3263374
B24,27,1953,14450,6125,ARN,CIP Adjustment THB,Feb,Services,Adjustment,Subledger,3123044
B22,78,1953,14450,7082,ARN,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,3122096
B1,48,1953,14450,6133,ARN,CIP Adjustment USD,Feb,Travel,Adjustment,Subledger,3109326
B22,76,1953,14450,1849,ARN,CIP Addition USD,Feb,Office,Additions,Subledger,3104432
B24,77,1953,14450,9990,ARN,CIP Adjustment USD,Feb,Software,Transfers,Subledger,3056673
B22,16,1953,14450,373,ARN,CIP Addition USD,Feb,Marketing,Additions,Subledger,3031597
B23,42,1952,14450,4869,ARN,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,3024723
B24,91,1953,14450,9917,ARN,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,3006650
B1,15,1953,14450,8239,ARN,CIP Addition BRL,Feb,Insurance,Additions,Subledger,2994925
C25,65,1953,14450,313,ARN,CIP Adjustment USD,Feb,Office,Adjustment,Subledger,2975300
B1,39,1953,14450,4452,ARN,CIP Adjustment THB,Feb,Rent,Adjustment,Subledger,2949394
B24,68,1953,14450,4795,ARN,Adjustment AUD,Feb,Travel,Adjustment,Subledger,2931033
B24,78,1953,14450,2855,ARN,CIP Adjustment USD,Feb,Office,Transfers,Subledger,2927400
B24,80,1953,14450,8494,ARN,CIP Addition JPY,Feb,Travel,Additions,Subledger,2922749
C25,100,1953,14450,2699,AMS,CIP Addition SGD,Feb,Training,Additions,Subledger,2912404
B22,43,1952,14450,2943,ATX,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,2777964
C25,68,1953,14450,4146,ATX,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,2770927
A0,68,1953,14450,6267,ATX,CIP Adjustment THB,Feb,Employee,Adjustment,Subledger,2750970
B1,94,1953,14450,6658,AMS,CIP Addition USD,Feb,Software,Additions,Subledger,2724000
B1,36,1953,14450,7893,ATX,CIP Adjustment USD,Feb,Training,Transfers,Subledger,2712173
B22,18,2192,14450,340,ATX,CIP Addition SGD,Feb,Employee,Additions,Subledger,2693122
B24,64,1952,14450,7596,ATX,CIP Adjustment USD,Feb,Services,Transfers,Subledger,2629221
C25,31,1953,14450,1816,ATX,CIP Addition AUD,Feb,Training,Additions,Subledger,2600952
A0,29,1953,14450,4065,ATX,CIP Adjustment USD,Feb,Services,Transfers,Subledger,2567500
C25,81,1952,14450,9034,ATX,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,2562442
B23,85,1953,14450,6210,ATX,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,2562265
B23,68,1953,14450,5721,ATX,CIP Addition SEK,Feb,Training,Additions,Subledger,2530322
B24,79,1953,14450,6119,ATX,CIP Addition USD,Feb,Training,Additions,Subledger,2527000
B23,23,1952,14450,9009,ATX,BMY CapexAdvanceReclass Accrual INR,Feb,Office,Additions,Manual,2523957
B1,21,1953,14450,7139,ATX,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,2502203
A0,75,1953,14450,4568,ATX,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,2502139
B1,75,1953,14450,2982,ATX,CIP Adjustment JPY,Feb,Software,Adjustment,Subledger,2491364
A0,46,1952,14450,9814,ATX,CIP Addition USD,Feb,Software,Additions,Subledger,2477290
B24,76,1952,14450,8555,ATX,CIP Adjustment USD,Feb,Employee,Transfers,Subledger,2475990
A0,29,1953,14450,8662,AMS,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,2431603
B22,39,1953,14450,106,ATX,CIP Adjustment INR,Feb,Software,Adjustment,Subledger,2426439
B1,90,1952,14450,6440,ATX,BMY CapexAdvanceReclass Accrual INR,Feb,Office,Additions,Manual,2410245
C25,99,1953,14450,9782,ATX,CIP Addition USD,Feb,Employee,Additions,Subledger,2402792
B23,73,1953,14450,6156,ATX,CIP Adjustment USD,Feb,Training,Transfers,Subledger,2399222
